Concentration_nM, Cell_line, Experiment, Luminescence
0,PC3,1,1.000000,
0,PC3,2,1.000000,
0,PC3,3,1.00,
0,C4-2B,1,1.000000,
0,C4-2B,2,1.000000,
0,C4-2B,3,1.00,
1,PC3,1,1.046454,
1,PC3,2,1.119669,
1,PC3,3,0.94,
1,C4-2B,1,1.084410,
1,C4-2B,2,0.949697,
1,C4-2B,3,0.93
5,PC3,1,1.082489,
5,PC3,2,1.094142,
5,PC3,3,0.68,
5,C4-2B,1,1.009289,
5,C4-2B,2,0.7121212,
5,C4-2B,3,0.88
25,PC3,1,0.6095514,
25,PC3,2,0.4934337,
25,PC3,3,0.21,
25,C4-2B,1,0.5868336,
25,C4-2B,2,0.3042424,
25,C4-2B,3,0.43
50,PC3,1,0.3007236,
50,PC3,2,0.3033791,
50,PC3,3,0.13,
50,C4-2B,1,0.4010501,
50,C4-2B,2,0.2087879,
50,C4-2B,3,0.32
100,PC3,1,0.276411,
100,PC3,2,0.2678176,
100,PC3,3,0.11,
100,C4-2B,1,0.2968498,
100,C4-2B,2,0.1626515,
100,C4-2B,3,0.26